Exp,Tank,Prestart date,Start date,End date,duration(d),Comments,build mobb,build nonmobb,building category mobb,building category nonmobb,attack mobb,appr mobb,attack non mobb,appr non mobb,,,,
2a,D12,06.01.2012,10.01.2012,31.01.2012,22,eggs in A,4,5,0,1,74,4,1,1,,,,
5b,D11,20.01.2012,23.01.2012,06.02.2012,15,,1,5,3,1,25,0,2,1,,,,
6b,G1,20.01.2012,23.01.2012,06.02.2012,15,,4,0,0,4,21,2,30,0,,,,
8b,D12,03.02.2012,06.02.2012,20.02.2012,15,männchen in D12B am 20.02.2012 gestorben,5,2,1,2,0,2,12,3,,,,
13b,D11,03.07.2012,06.07.2012,20.07.2012,15,,3,2,1,2,42,3,10,0,,,,
14b,D12,03.07.2012,06.07.2012,20.07.2012,15,,3,0,1,4,63,3,21,0,,,,
15a,D11,07.09.2012,12.09.2012,26.09.2012,15,"becken gekippt, endpres gültig ?????, Baustand von 22.09 ( da dort noch keine Anzeichen des kippens zu sehen)",5,2,1,2,5,4,3,0,,,,
16a,D12,07.09.2012,12.09.2012,26.09.2012,15,"becken gekippt, endpres gültig ?????, Baustand von 22.09 ( da dort noch keine Anzeichen des kippens zu sehen)",1,2,3,2,0,0,0,0,,,,
17a,G1,07.09.2012,12.09.2012,20.09.2012,9,,3,0,1,4,10,8,1,0,,,,
19b,D11,01.10.2012,06.10.2012,18.10.2012,13,eggs in B,2,0,2,4,72,1,11,3,,,,
20b,D12,01.10.2012,06.10.2012,16.10.2012,11,,2,4,2,0,36,0,0,0,,,,
24a,D12,06.11.2012,11.11.2012,02.12.12,22,,4,1,0,3,16,2,0,0,,,,
27a,D11,13.11.2012,17.11.2012,05.12.12,19,eggs in A,4,1,0,3,43,4,2,0,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,building category mobb,building category nonmobb,diff,vorzeichen,rang,pos. rang,neg. rang,,,
,,,,,,,,,0,1,1,+,3,3,,,,
,,,,,,,,,3,1,-2,-,7,,7,,,
,,,,,,,,,0,4,4,+,13,13,,,,
,,,,,,,,,1,2,1,+,3,3,,,,
,,,,,,,,,1,2,1,+,3,3,,,,
,,,,,,,,,1,4,3,+,"10,5","10,5",,,,
,,,,,,,,,1,2,1,+,3,3,,,,
,,,,,,,,,3,2,-1,-,3,,3,,,
,,,,,,,,,1,4,3,+,"10,5","10,5",,,,
,,,,,,,,,2,4,2,+,7,7,,,,
,,,,,,,,,2,0,-2,-,7,,7,,,
,,,,,,,,,0,3,3,+,"10,5","10,5",,,,
,,,,,,,,,0,3,3,+,"10,5","10,5",,,,
,,,,,,,,,,,,,,,,,n,13
,,,,,,,,,,,,,,74,17,,Teststatistik (W-Wert),17
,,,,,,,,,,,,,,,,,theoretischer wert wenn es keine Unterschiede gäbe:,"45,5"
,,,,,,,,,,,,,,,,,Z-Wert (nicht zulässig da Stichprobe zu klein),"-1,9917411898"
,,,,,,,,,,,,,,,,,"Sig. Nach tabelle aus SACHS,angewandte statistik; springerverlag","P<0,05 (knapp!!!)"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
